Stock,Symbol
AARTIIND,AARTIIND.NS
ABBOTINDIA,ABBOTINDIA.NS
ABCAPITAL,ABCAPITAL.NS
ABFRL,ABFRL.NS
ACC,ACC.NS
ADANIENT,ADANIENT.NS
ADANIPORTS,ADANIPORTS.NS
ALKEM,ALKEM.NS
AMARAJABAT,AMARAJABAT.NS
AMBUJACEM,AMBUJACEM.NS
APLLTD,APLLTD.NS
APOLLOHOSP,APOLLOHOSP.NS
APOLLOTYRE,APOLLOTYRE.NS
ASHOKLEY,ASHOKLEY.NS
ASIANPAINT,ASIANPAINT.NS
ASTRAL,ASTRAL.NS
ATUL,ATUL.NS
AUBANK,AUBANK.NS
AUROPHARMA,AUROPHARMA.NS
AXISBANK,AXISBANK.NS
BAJAJ-AUTO,BAJAJ-AUTO.NS
BAJAJFINSV,BAJAJFINSV.NS
BAJFINANCE,BAJFINANCE.NS
BALKRISIND,BALKRISIND.NS
BALRAMCHIN,BALRAMCHIN.NS
BANDHANBNK,BANDHANBNK.NS
BANKBARODA,BANKBARODA.NS
BATAINDIA,BATAINDIA.NS
BEL,BEL.NS
BERGEPAINT,BERGEPAINT.NS
BHARATFORG,BHARATFORG.NS
BHARTIARTL,BHARTIARTL.NS
BHEL,BHEL.NS
BIOCON,BIOCON.NS
BOSCHLTD,BOSCHLTD.NS
BPCL,BPCL.NS
BRITANNIA,BRITANNIA.NS
BSOFT,BSOFT.NS
CADILAHC,CADILAHC.NS
CANBK,CANBK.NS
CANFINHOME,CANFINHOME.NS
CHAMBLFERT,CHAMBLFERT.NS
CHOLAFIN,CHOLAFIN.NS
CIPLA,CIPLA.NS
COALINDIA,COALINDIA.NS
COFORGE,COFORGE.NS
COLPAL,COLPAL.NS
CONCOR,CONCOR.NS
COROMANDEL,COROMANDEL.NS
CROMPTON,CROMPTON.NS
CUB,CUB.NS
CUMMINSIND,CUMMINSIND.NS
DABUR,DABUR.NS
DALBHARAT,DALBHARAT.NS
DEEPAKNTR,DEEPAKNTR.NS
DELTACORP,DELTACORP.NS
DIVISLAB,DIVISLAB.NS
DIXON,DIXON.NS
DLF,DLF.NS
DRREDDY,DRREDDY.NS
EICHERMOT,EICHERMOT.NS
ESCORTS,ESCORTS.NS
EXIDEIND,EXIDEIND.NS
FEDERALBNK,FEDERALBNK.NS
FSL,FSL.NS
GAIL,GAIL.NS
GLENMARK,GLENMARK.NS
GMRINFRA,GMRINFRA.NS
GNFC,GNFC.NS
GODREJCP,GODREJCP.NS
GODREJPROP,GODREJPROP.NS
GRANULES,GRANULES.NS
GRASIM,GRASIM.NS
GSPL,GSPL.NS
GUJGASLTD,GUJGASLTD.NS
HAL,HAL.NS
HAVELLS,HAVELLS.NS
HCLTECH,HCLTECH.NS
HDFC,HDFC.NS
HDFCAMC,HDFCAMC.NS
HDFCBANK,HDFCBANK.NS
HDFCLIFE,HDFCLIFE.NS
HEROMOTOCO,HEROMOTOCO.NS
HINDALCO,HINDALCO.NS
HINDCOPPER,HINDCOPPER.NS
HINDPETRO,HINDPETRO.NS
HINDUNILVR,HINDUNILVR.NS
HONAUT,HONAUT.NS
IBULHSGFIN,IBULHSGFIN.NS
ICICIBANK,ICICIBANK.NS
ICICIGI,ICICIGI.NS
ICICIPRULI,ICICIPRULI.NS
IDEA,IDEA.NS
IDFC,IDFC.NS
IDFCFIRSTB,IDFCFIRSTB.NS
IEX,IEX.NS
IGL,IGL.NS
INDHOTEL,INDHOTEL.NS
INDIACEM,INDIACEM.NS
